Gmt time,Open,High,Low,Close,% change
03.01.2023 14:00:00.000,90.69,91.54,89.99,90.03,-0.727753887
03.01.2023 15:00:00.000,90.02,90.21,89.11,89.95,-0.077760498
03.01.2023 16:00:00.000,89.96,90.03,89.15,89.23,-0.811471765
03.01.2023 17:00:00.000,89.24,89.47,89.01,89.25,0.011205737
03.01.2023 18:00:00.000,89.25,89.61,89.1,89.55,0.336134454
03.01.2023 19:00:00.000,89.55,90.11,89.36,89.94,0.435510888
03.01.2023 20:00:00.000,89.94,90.23,89.61,89.64,-0.333555704
04.01.2023 14:00:00.000,89.57,90.19,88.97,89.04,-0.591715976
04.01.2023 15:00:00.000,89,89.59,87.8,88.56,-0.494382022
04.01.2023 16:00:00.000,88.57,89.45,88.1,89.24,0.756463814
04.01.2023 17:00:00.000,89.24,89.53,88.89,88.89,-0.392200807
04.01.2023 18:00:00.000,88.89,89.13,88.54,88.79,-0.112498594
04.01.2023 19:00:00.000,88.78,89.24,87.97,88.63,-0.168956972
04.01.2023 20:00:00.000,88.64,88.85,87.88,88.31,-0.372292419
05.01.2023 14:00:00.000,87.82,88.08,87.18,87.66,-0.182190845
05.01.2023 15:00:00.000,87.67,87.99,86.97,87.08,-0.672978214
05.01.2023 16:00:00.000,87.09,87.5,86.79,87.11,0.022964749
05.01.2023 17:00:00.000,87.11,87.58,86.96,87.01,-0.114797383
05.01.2023 18:00:00.000,87.01,87.64,86.73,87.2,0.218365705
05.01.2023 19:00:00.000,87.21,87.7,87.12,87.42,0.240798074
05.01.2023 20:00:00.000,87.42,87.42,86.57,86.57,-0.972317547
06.01.2023 14:00:00.000,86.94,87.16,85.56,85.9,-1.196227283
06.01.2023 15:00:00.000,85.9,86.93,85.84,86.83,1.082654249
06.01.2023 16:00:00.000,86.86,87.55,86.72,87.01,0.172691688
06.01.2023 17:00:00.000,87.01,87.22,86.37,86.52,-0.56315366
06.01.2023 18:00:00.000,86.52,87.3,86.48,87.2,0.785945446
06.01.2023 19:00:00.000,87.19,87.93,87.16,87.9,0.814313568
06.01.2023 20:00:00.000,87.9,88.47,87.88,88.09,0.216154721
09.01.2023 14:00:00.000,89.44,90.06,88.99,89.91,0.52549195
09.01.2023 15:00:00.000,89.92,90.66,89.83,90.18,0.289145907
09.01.2023 16:00:00.000,90.19,90.67,90.13,90.55,0.399157335
09.01.2023 17:00:00.000,90.55,90.67,90.34,90.58,0.033130867
09.01.2023 18:00:00.000,90.57,90.83,89.82,89.99,-0.64038865
09.01.2023 19:00:00.000,89.95,90.15,89.18,89.24,-0.789327404
09.01.2023 20:00:00.000,89.23,89.37,88.62,88.75,-0.537935672
10.01.2023 14:00:00.000,87.72,88.68,87.21,88.39,0.76379389
10.01.2023 15:00:00.000,88.42,89.47,87.79,88.9,0.542863606
10.01.2023 16:00:00.000,88.89,89.25,88.49,88.75,-0.157498031
10.01.2023 17:00:00.000,88.75,89.29,88.42,89.11,0.405633803
10.01.2023 18:00:00.000,89.11,89.33,88.83,89.06,-0.056110425
10.01.2023 19:00:00.000,89.07,89.17,88.76,88.82,-0.280678118
10.01.2023 20:00:00.000,88.82,89.07,88.64,89.05,0.258950687
11.01.2023 14:00:00.000,90.26,91.04,90.15,90.56,0.332373144
11.01.2023 15:00:00.000,90.57,91.24,90.31,90.45,-0.132494203
